elapsed_s	fps	latency_p95	memory_rss_kb	memory_peak_kb	status
0	60.0	32.9	6152	6152	ok
10	60.0	32.1	6152	6152	ok
21	60.0	31.7	6152	6152	ok
32	0	0	0	0	ok
42	60.0	31.7	6152	6152	ok
53	60.0	31.7	6152	6152	ok
64	60.0	31.7	6152	6152	ok
74	60.0	31.7	6152	6152	ok
85	60.0	31.7	6152	6152	ok
96	60.0	31.7	6152	6152	ok
106	60.0	31.7	6152	6152	ok
117	60.0	31.7	6152	6152	ok
127	60.0	31.7	6152	6152	ok
138	60.0	31.7	6152	6152	ok
149	60.0	31.7	6152	6152	ok
159	60.0	31.7	6152	6152	ok
170	60.0	31.7	6152	6152	ok
181	60.0	31.7	6152	6152	ok
191	60.0	31.7	6152	6152	ok
202	60.0	31.7	6152	6152	ok
212	60.0	31.7	6152	6152	ok
223	60.0	31.7	6152	6152	ok
234	60.0	31.7	6152	6152	ok
244	60.0	31.7	6152	6152	ok
255	60.0	31.7	6152	6152	ok
266	60.0	31.7	6152	6152	ok
276	60.0	31.7	6152	6152	ok
287	60.0	31.7	6152	6152	ok
297	60.0	31.7	6152	6152	ok
308	60.0	31.7	6152	6152	ok
319	60.0	31.7	6152	6152	ok
329	60.0	31.7	6152	6152	ok
340	60.0	31.7	6152	6152	ok
350	60.0	31.7	6152	6152	ok
361	60.0	31.7	6152	6152	ok
372	60.0	31.7	6152	6152	ok
382	0	0	0	0	ok
393	60.0	31.7	6152	6152	ok
404	60.0	31.7	6152	6152	ok
414	60.0	31.7	6152	6152	ok
425	60.0	31.7	6152	6152	ok
435	60.0	31.7	6152	6152	ok
446	60.0	31.7	6152	6152	ok
457	0	0	0	0	ok
467	60.0	31.7	6152	6152	ok
478	60.0	31.7	6152	6152	ok
489	60.0	31.7	6152	6152	ok
499	60.0	31.7	6152	6152	ok
510	60.0	31.7	6152	6152	ok
520	60.0	31.7	6152	6152	ok
531	60.0	31.7	6152	6152	ok
542	60.0	31.7	6152	6152	ok
552	60.0	31.7	6152	6152	ok
563	60.0	31.7	6152	6152	ok
574	60.0	31.7	6152	6152	ok
584	60.0	31.7	6152	6152	ok
595	60.0	31.7	6152	6152	ok
