elapsed_s	fps	latency_p95	memory_rss_kb	memory_peak_kb	status
0	15.2	91.2	7184	7184	ok
11	15.1	91.2	7184	7184	ok
21	0	0	0	0	ok
32	15.1	91.1	7184	7184	ok
43	15.1	91.1	7184	7184	ok
53	15.0	91.1	7184	7184	ok
64	15.0	91.1	7184	7184	ok
75	15.0	91.0	7184	7184	ok
85	15.0	91.1	7184	7184	ok
96	15.0	91.4	7184	7184	ok
106	15.0	91.4	7184	7184	ok
117	15.0	91.4	7184	7184	ok
128	15.0	91.4	7184	7184	ok
138	15.0	91.4	7184	7184	ok
149	15.0	91.4	7184	7184	ok
160	15.0	91.4	7184	7184	ok
170	15.0	91.4	7184	7184	ok
181	15.0	91.4	7184	7184	ok
191	15.0	91.4	7184	7184	ok
202	15.0	91.4	7184	7184	ok
213	15.0	91.4	7184	7184	ok
223	15.0	91.4	7184	7184	ok
234	15.0	91.4	7184	7184	ok
244	15.0	91.4	7184	7184	ok
255	15.0	91.4	7184	7184	ok
266	15.0	91.4	7184	7184	ok
276	15.0	91.4	7184	7184	ok
287	15.0	91.4	7184	7184	ok
298	15.0	91.4	7184	7184	ok
308	15.0	91.4	7184	7184	ok
319	15.0	91.4	7184	7184	ok
329	15.0	91.4	7184	7184	ok
340	15.0	91.4	7184	7184	ok
351	0	0	0	0	ok
361	15.0	91.4	7184	7184	ok
372	15.0	91.4	7184	7184	ok
383	15.0	91.4	7184	7184	ok
393	15.0	91.4	7184	7184	ok
404	15.0	91.4	7184	7184	ok
414	15.0	91.4	7184	7184	ok
425	15.0	91.4	7184	7184	ok
436	15.0	91.4	7184	7184	ok
446	15.0	91.4	7184	7184	ok
457	15.0	91.4	7184	7184	ok
468	15.0	91.4	7184	7184	ok
478	15.0	91.4	7184	7184	ok
489	15.0	91.4	7184	7184	ok
500	15.0	91.4	7184	7184	ok
510	15.0	91.4	7184	7184	ok
521	15.0	91.4	7184	7184	ok
531	15.0	91.4	7184	7184	ok
542	0	0	0	0	ok
553	0	0	0	0	ok
563	15.0	91.4	7184	7184	ok
574	15.0	91.4	7184	7184	ok
585	15.0	91.4	7184	7184	ok
595	15.0	91.4	7184	7184	ok
